cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p
GSE65391_SLE	visit_count	spearman	996	4	0.24513384798494775	4.274647538958586e-15	1	0.21835279761975857	3.245167619121967e-12
GSE65391_SLE	cumulative_time	spearman	924	2	0.24927827237057543	1.48471840501643e-14	2	0.22131563909551424	1.0257788977747018e-11
GSE65391_SLE	days_since_diagnosis	spearman	921	2	0.3145039105537485	1.3605594597066402e-22	2	0.28929621710626846	3.249354612478241e-19
GSE65391_SLE	days_since_last_visit	spearman	924	4	0.1939532243047765	2.7777596820241246e-09	5	0.20378883034801826	4.052815831930129e-10
GSE65391_SLE	days_between_diagnosis_and_last_visit	spearman	921	4	0.3550602132649927	9.455507085023141e-29	4	0.3540167934071721	1.3989909353649877e-28
GSE65391_SLE	disease_state	auc	996	1	0.751082251082251	2.2414958571578896e-26	1	0.7247775372775374	1.1305545227737082e-24
GSE65391_SLE	gender	auc	996	1	0.22643208162959083	4.9978732890195636e-05	9	0.2276887871853548	4.5378543280217124e-05
GSE65391_SLE	race	spearman	996	3	0.09845768576995158	0.0018649816603396358	10	0.1468548967446466	3.2540328064705796e-06
GSE65391_SLE	age	spearman	996	2	0.1735191849671372	3.564887665273845e-08	1	0.15806276325561683	5.340387439059614e-07
GSE65391_SLE	biopsy_history	spearman	996	1	0.12888226631507174	4.515742639492089e-05	1	0.12282233635414311	0.00010188353979437111
GSE65391_SLE	nephritis_class	spearman	996	2	0.16120096534384473	3.145523180004056e-07	8	0.1738332605391922	3.365317153825239e-08
GSE65391_SLE	days_since_kidney_biopsy	spearman	641	4	0.3420399862499071	4.963348986261522e-19	2	0.30954758781072456	1.0607232574887625e-15
GSE65391_SLE	wbc	spearman	877	3	0.46318345597241617	7.591177737000856e-48	3	0.4222110280213726	3.1538664180999784e-39
GSE65391_SLE	neutrophil_count	spearman	853	1	0.5179729007120593	9.906194827773197e-60	1	0.5300782380185127	5.672079748411392e-63
GSE65391_SLE	lymphocyte_count	spearman	849	1	0.573444286516652	2.1859085868192318e-75	1	0.5416745454810048	6.683397480728575e-66
GSE65391_SLE	neutrophil_percent	spearman	844	1	0.7812126752657131	1.7649336870373714e-174	1	0.7698554155609622	2.1703116397223632e-166
GSE65391_SLE	lymphocyte_percent	spearman	827	1	0.8019569435702828	8.852212749037174e-187	1	0.7841047399291519	4.315727981840047e-173
GSE65391_SLE	platelet_count	spearman	896	3	0.11101323308610334	0.0008727031913349305	8	0.13578736786627268	4.5466776527614875e-05
GSE65391_SLE	esr	spearman	887	3	0.30697228083081035	8.254216546592888e-21	3	0.3499015203098909	6.0660466127964555e-27
GSE65391_SLE	hgb	spearman	794	1	0.28985973977215335	7.790822693512203e-17	3	0.29534139308483803	1.9068611870959613e-17
GSE65391_SLE	cr	spearman	764	4	0.19667026470741372	4.23435517089549e-08	5	0.16166372460471537	7.09797086272236e-06
GSE65391_SLE	alb	spearman	743	4	0.31112476500899605	3.862322482065313e-18	4	0.2509890789196167	3.883469201295284e-12
GSE65391_SLE	ds_dna	spearman	578	1	0.1952771062596411	2.2426544548991254e-06	9	0.214948968869292	1.8121116152368119e-07
GSE65391_SLE	c3	spearman	895	2	0.2453497346956475	9.781010011808854e-14	2	0.24551585387003302	9.403169003840819e-14
GSE65391_SLE	c4	spearman	893	2	0.26855529097161723	3.22846969890572e-16	2	0.26868548283986005	3.1203779735060216e-16
GSE65391_SLE	ast	spearman	667	2	0.31889306355264735	3.1255234192475715e-17	2	0.2982623821961274	3.5930778342843675e-15
GSE65391_SLE	alt	spearman	668	2	0.25800064923117555	1.2818525190262193e-11	2	0.2652516798927184	3.215498102911796e-12
GSE65391_SLE	ald	spearman	653	2	0.21079878463793808	5.399708912651543e-08	2	0.24200585288526996	3.711371592423144e-10
GSE65391_SLE	ldh	spearman	529	3	0.16303953820019867	0.00016570567523232227	3	0.19972472831226784	3.665027280297015e-06
GSE65391_SLE	steroid_iv_category	auc	924	1	0.32896341463414625	4.481794198757342e-08	1	0.3366791744840527	2.155274130662867e-08
GSE65391_SLE	cyclophosphamide_category	auc	923	1	0.4404935392985525	3.5315018360599017e-07	1	0.4369474400077722	4.380783764180425e-07
GSE65391_SLE	oral_steroids_category	auc	924	1	0.35832217759928575	5.97052746867676e-17	1	0.3499092666964152	3.099646833835037e-16
GSE65391_SLE	mycophenolate_category	auc	924	4	0.17937239628269286	4.214812942898038e-06	5	0.1880691202208693	1.4102120987337992e-06
GSE65391_SLE	hydroxychloroquine_category	auc	923	2	0.21394872818951105	0.0005595018321721889	8	0.33159431866403755	8.893226326793379e-08
GSE65391_SLE	metotrexate_category	auc	792	2	0.19437172774869094	0.08043828777880441	4	0.23298429319371727	0.036125899719336864
GSE65391_SLE	nsaid_category	auc	783	4	0.1870147986414361	0.002971314893956488	7	0.23286632702571586	0.00021637316364836998
GSE65391_SLE	asa_category	auc	781	2	0.13428763140237088	0.0023189584894301625	2	0.13255796615224047	0.0026403097694827674
GSE65391_SLE	treatment	spearman	996	1	0.09257833251366449	0.003451917526543496	1	0.09707254229408832	0.0021625045480430523
GSE65391_SLE	treatment_lmm1	spearman	996	4	0.07578557322003353	0.016748177299626386	8	0.08383828382857303	0.008115395446642824
GSE65391_SLE	sledai	spearman	924	2	0.1791478962685486	4.1896301071450406e-08	2	0.22087476785816235	1.1295920239313451e-11
GSE65391_SLE	disease_activity	spearman	924	2	0.17261115351087922	1.295380759220186e-07	2	0.21214015434532196	7.314885710995506e-11
GSE65391_SLE	seizure	spearman	924	4	0.06163723506738386	0.06108848511579247	1	0.05273213878286098	0.10918590464085005
GSE65391_SLE	psychosis	spearman	924	2	0.05386445917390671	0.10177484701930609	7	0.055221868225253726	0.09342376297071286
GSE65391_SLE	organic_brain_syndrome	spearman	924	1	0.05131676396479145	0.11904132310089044	8	0.07014598660093453	0.033007367818942736
