cohort	metadata	metric	n_meta	gizmo_best_pc	gizmo_strength	gizmo_raw_p	mofa_best_factor	mofa_strength	mofa_raw_p	n_cohort_tests	bonf_cohort_thr	bonf_global_thr	gizmo_pc_var_frac	mofa_factor_var_frac	gizmo_survives_bonf_cohort	gizmo_survives_bonf_global	mofa_survives_bonf_cohort	mofa_survives_bonf_global
CPTAC_COAD	integrated.phenotype	spearman	108	2	0.4252775713592095	4.967432021226583e-06	4	0.4236399438683189	5.449103579575342e-06	26	0.0019230769230769232	0.00027624309392265195	0.11388571651080141	0.0030057051504846347	True	True	True	True
CPTAC_OV	age	spearman	77	4	0.072901814809339	0.5286378457655134	6	0.228826546791404	0.0453119771091428	3	0.016666666666666666	0.00027624309392265195	0.03729618814174062	0.005550000586421841	False	False	False	False
CPTAC_OV	site_of_disease	spearman	83	4	0.1866152185812802	0.0911742241339296	6	0.1967729649976875	0.0745902985800415	3	0.016666666666666666	0.00027624309392265195	0.03729618814174062	0.005550000586421841	False	False	False	False
CPTAC_OV	anatomic_site_of_tumor_specimen	auc	78	2	0.3736842105263159	0.0045961352943585	2	0.4973684210526319	0.0001608168824695	3	0.016666666666666666	0.00027624309392265195	0.05089165747711118	0.015722531137245664	False	False	True	True
TCGA_IDH_glioma	age	spearman	1047	4	0.34213674122758	4.641768730486299e-13	3	0.3124570989535318	4.9459993355287107e-11	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	False	False	False	False
TCGA_IDH_glioma	karnofsky_performance_score	spearman	697	2	0.2447564616442822	0.000132210634201	3	0.2082667272106912	0.0012018978331249	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	False	False	False	False
TCGA_IDH_glioma	os_months	spearman	1047	3	0.1685835034741002	0.0004977885497791	5	0.1635927940589378	0.0007316616932799	11	0.004545454545454546	0.00027624309392265195		0.09775598343151809	False	False	False	False
TCGA_IDH_glioma	sex	auc	1047	4	0.1087822544137619	0.0544917555890496	3	0.1136260751471254	0.0445851770793489	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	False	False	False	False
TCGA_IDH_glioma	os_event	auc	1046	4	0.3811275429772539	1.6745701655349838e-07	3	0.4357780947376323	2.1961973493696213e-09	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	False	False	True	True
TCGA_IDH_glioma	idh_mut	auc	995	2	0.7310770782126426	4.425503317202679e-26	3	0.687905716266465	2.811910086696026e-23	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	True	True	True	True
TCGA_IDH_glioma	mgmt_methylated	auc	932	2	0.4759026084633111	2.795756597092402e-11	7	0.4093717644701244	1.026782213533887e-08	11	0.004545454545454546	0.00027624309392265195		0.15879460856600827	True	True	True	True
TCGA_IDH_glioma	grade	spearman	1047	4	0.3562911430034744	4.1722213528546794e-14	3	0.4054614922991215	3.608255474603753e-18	11	0.004545454545454546	0.00027624309392265195		0.11682826895673022	False	False	True	True
