cohort	pc	disease	disease_class	biology	best_match_cohort	best_match_pc	best_match_disease	best_match_cos	best_match_within_disease	intra_cohort_max_other_pc_cos	invisible_pct_gene	invisible_pct_protein	invisible_pct_metab	invisible_n_reaction	visible_pct_gene	visible_pct_protein	visible_pct_metab	visible_n_reaction	visible_k_size	top3_matches
GSE65391_SLE	3	SLE	inflammatory	type I IFN signature (psychosis)	GSE65682_sepsis	5	Sepsis	0.5248	False	0.0	100.0	0.0	0.0	1				0	0	GSE65682_sepsis·PC5 (0.525) | GSE65682_sepsis·PC1 (0.299) | GSE65682_sepsis·PC2 (0.285)
GSE65682_sepsis	5	Sepsis	inflammatory	RSAD2 / EPSTI1 / IFIT3	GSE65391_SLE	3	SLE	0.5248	False	0.0	100.0	0.0	0.0	1				0	0	GSE65391_SLE·PC3 (0.525) | GSE65391_SLE·PC2 (0.440) | CPTAC_CCRCC·PC3 (0.117)
GSE65391_SLE	1	SLE	inflammatory	ASPRV1 / C12orf57 / COBLL1	GSE65682_sepsis	2	Sepsis	0.5052	False	0.0	100.0	0.0	0.0	0				0	0	GSE65682_sepsis·PC2 (0.505) | GSE65682_sepsis·PC4 (0.361) | GSE65682_sepsis·PC1 (0.358)
GSE65682_sepsis	2	Sepsis	inflammatory	metabolic ↔ lymphoid exhaustion	GSE65391_SLE	1	SLE	0.5052	False	0.0	100.0	0.0	0.0	0				0	0	GSE65391_SLE·PC1 (0.505) | GSE65391_SLE·PC3 (0.285) | GSE65391_SLE·PC2 (0.148)
KMPLOT_BRCA	3	Breast	cancer_subtype	Receptor CXCR3 binds … / Expression of IFN-ind… / AZGP1 binds PIP	GSE89408_RA	1	RA	0.5029	False	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	GSE89408_RA·PC1 (0.503) | TCGA_LUAD·PC2 (0.331) | TCGA_IDH_glioma·PC1 (0.280)
Gao_RA	3	RA	inflammatory	NQO2:FAD dimer reduce… / PLA1A hydrolyses PS t… / OSCN- reacts with Cys…	TCGA_LUAD	1	LungAdeno	0.4416	False	0.0	0.0	7.7	92.3	37	0.0	62.0	38.0	0	50	TCGA_LUAD·PC1 (0.442) | IDH_glioma·PC2 (0.371) | KMPLOT_BRCA·PC2 (0.322)
GSE65391_SLE	2	SLE	inflammatory	HERC6 / RSAD2 / ZNF684	GSE65682_sepsis	5	Sepsis	0.4397	False	0.0	100.0	0.0	0.0	0				0	0	GSE65682_sepsis·PC5 (0.440) | GSE65682_sepsis·PC1 (0.414) | GSE65682_sepsis·PC3 (0.243)
GSE65682_sepsis	1	Sepsis	inflammatory	IRX5 / KLF1 / RNF182	GSE65391_SLE	2	SLE	0.4145	False	0.0	100.0	0.0	0.0	0				0	0	GSE65391_SLE·PC2 (0.414) | GSE65391_SLE·PC1 (0.358) | GSE65391_SLE·PC3 (0.299)
TCGA_LUAD	2	LungAdeno	cancer_GoF_subtype	CHIA hydrolyses chitin / Receptor CXCR3 binds … / Receptor ACKR2 binds …	GSE89408_RA	2	RA	0.4045	False	0.0	25.0	0.0	75.0	46	100.0	0.0	0.0	0	50	GSE89408_RA·PC2 (0.404) | KMPLOT_BRCA·PC3 (0.331) | GSE89408_RA·PC1 (0.253)
GSE89408_RA	2	RA	inflammatory	CXCR5 binds CXCL13 / Receptor CCR7 binds C… / AKR1B15 reduces EST17…	TCGA_LUAD	2	LungAdeno	0.4045	False	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	TCGA_LUAD·PC2 (0.404) | TCGA_IDH_glioma·PC5 (0.315) | KMPLOT_BRCA·PC1 (0.312)
KMPLOT_BRCA	2	Breast	cancer_subtype	Formation of MIB comp… / RNase P cleaves the 5… / pyrophosphate + H2O =…	TCGA_LUAD	1	LungAdeno	0.3802	False	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	TCGA_LUAD·PC1 (0.380) | Gao_RA·PC3 (0.322) | GSE89408_RA·PC2 (0.287)
GSE65682_sepsis	4	Sepsis	inflammatory	IFIT2 / IFIT3 / RSAD2	GSE65391_SLE	1	SLE	0.361	False	0.0	100.0	0.0	0.0	0				0	0	GSE65391_SLE·PC1 (0.361) | GSE65391_SLE·PC4 (0.317) | GSE65391_SLE·PC5 (0.228)
KMPLOT_BRCA	4	Breast	cancer_subtype	tumor immune infiltrate ↔ secretory	TCGA_IDH_glioma	2	Glioma	0.3563	False	0.0	0.0	0.0	0.0	50	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC2 (0.356) | IDH_glioma·PC2 (0.351) | TCGA_LUAD·PC1 (0.348)
TCGA_LUAD	4	LungAdeno	cancer_GoF_subtype	AKRs reduce RBP2:atRA… / UGTs glucuronate APAP… / UGTs transfer GlcA fr…	TCGA_IDH_glioma	3	Glioma	0.323	False	0.0	57.1	0.0	42.9	43	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC3 (0.323) | IDH_glioma·PC2 (0.255) | GSE89408_RA·PC1 (0.250)
CPTAC_COAD	2	Colon	cancer_intensity	PALLD / CSRP1 / EML1	CPTAC_OV	3	Ovarian	0.3228	False	0.0	0.0	100.0	0.0	1				0	0	CPTAC_OV·PC3 (0.323) | CPTAC_CCRCC·PC2 (0.185) | CPTAC_CCRCC·PC3 (0.178)
CPTAC_OV	3	Ovarian	cancer_intensity	AGR2 / PALLD / CSRP1	CPTAC_COAD	2	Colon	0.3228	False	0.0	0.0	100.0	0.0	0				0	0	CPTAC_COAD·PC2 (0.323) | CPTAC_CCRCC·PC3 (0.225) | CPTAC_COAD·PC5 (0.221)
Crohn	2	IBD	inflammatory	benzoyl-CoA + glycine… / GLYAT-like proteins t… / GLYAT-like proteins t…	Erawijantari	3	Gastric	0.3173	False	0.0	0.0	40.7	59.3	23	0.0	96.0	4.0	0	50	Erawijantari·PC3 (0.317) | Erawijantari·PC2 (0.249) | Erawijantari·PC5 (0.174)
Erawijantari	3	Gastric	microbiome_gastric	FMO3:FAD N-oxidises T… / TMA [endoplasmic reti… / FMO3	Crohn	2	IBD	0.3173	False	0.0	81.8	0.0	18.2	28	0.0	0.0	100.0	0	42	Crohn·PC2 (0.317) | HMP2_IBD_CD·PC5 (0.278) | Crohn·PC3 (0.166)
GSE65391_SLE	4	SLE	inflammatory	AZU1 / ZNF786 / ZNF860	GSE65682_sepsis	4	Sepsis	0.3167	False	0.0	100.0	0.0	0.0	0				0	0	GSE65682_sepsis·PC4 (0.317) | GSE65682_sepsis·PC3 (0.239) | GSE65682_sepsis·PC1 (0.161)
TCGA_IDH_glioma	5	Glioma	cancer_subtype	epigenetic/translation axis (IDH-mut)	GSE89408_RA	2	RA	0.315	False	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	GSE89408_RA·PC2 (0.315) | TCGA_LUAD·PC3 (0.295) | KMPLOT_BRCA·PC1 (0.235)
KMPLOT_BRCA	1	Breast	cancer_subtype	PSGs bind proteoglyca… / DAG kinase produces p… / GPLD1 hydrolyses GPI-…	GSE89408_RA	2	RA	0.3119	False	0.0	100.0	0.0	0.0	49	100.0	0.0	0.0	0	50	GSE89408_RA·PC2 (0.312) | TCGA_LUAD·PC3 (0.300) | Gao_RA·PC3 (0.286)
GSE89408_RA	5	RA	inflammatory	CSN polymer binds CaPO4 / CXADR binds to AMICA1 / INTL1 binds bacterial…	TCGA_IDH_glioma	2	Glioma	0.3064	False	0.0	66.7	0.0	33.3	47	100.0	0.0	0.0	0	50	TCGA_IDH_glioma·PC2 (0.306) | IDH_glioma·PC2 (0.280) | KMPLOT_BRCA·PC1 (0.253)
